Peak,structure,common_name,class,synthesizers,Reten_1_mirror_fish,Area1_mirror_fish,Reten_2_mirror_fish,Area2_mirror_fish,Reten_3_C_caddis,Area3_C_caddis,Reten_4_C_caddis,Area4_C_caddis,Reten_6_milk_caddis,Area6_milk_caddis,Reten_7_mirror_caddis,Area7_mirror_caddis,Reten_8_morg_caddis,Area8_morg_caddis,Reten_9_morg_caddis,Area9_morg_caddis,Reten_10_noname_caddis,Area10_noname_caddis,Reten_11_y015_caddis,Area11_y015_caddis,Reten_12_y025_caddis,Area12_y025_caddis,Reten_13_Z_caddis,Area13_Z_caddis,Reten_90_C_cal,Area90_C_cal,Reten_92_O_cal,Area92_O_cal,Reten_108_clear_caddis,Area108_clear_caddis,Reten_94_Z_cal,Area94_Z_cal,Reten_85_mirror_cal,Area85_mirror_cal,Reten_86_y025_cal,Area86_y025_cal,Reten_87_y015_cal,Area87_y015_cal,Reten_80_clear_chaob,Area80_clear_chaob,Reten_96_L_cal,Area96_L_cal,Reten_81_clear_clad,Area81_clear_clad,Reten_82_clear_cal,Area82_clear_cal,Reten_83_morg_cal,Area83_morg_cal,Reten_84_morg_clad,Area84_morg_clad,Reten_93_O_clad,Area93_O_clad,Reten_105_milk_cal,Area105_milk_cal,Reten_106_milk_chaob,Area106_milk_chaob,Reten_97_L_clad,Area97_L_clad,Reten_91_C_clad,Area91_C_clad,Reten_95_Z_clad,Area95_Z_clad,total_appearances,
70,20-1n7,,MUFA,,NA,NA,49.50876617,3.004150867,NA,NA,49.5235405,3.65909791,49.51039505,3.515574932,49.48514938,7.361642838,49.51956558,3.255320311,49.5121727,3.118202925,48.86053848,4.340442181,49.48006058,5.205363274,49.52626801,4.804873466,49.53116989,3.601911783,49.51441956,4.841599464,49.51583099,4.730817318,49.48591614,5.087407589,49.50649643,8.135972023,49.51013947,5.329007149,49.50950241,4.49198246,49.50530243,7.168099403,NA,NA,49.4956398,6.167287827,NA,NA,49.52174377,16.00604439,49.5101738,15.11368847,NA,NA,NA,NA,49.50815964,11.40787888,49.50575638,5.90591526,NA,NA,NA,NA,NA,NA,22,0.71
75,20-2n6,,PUFA,Euglenophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.10840225,5.114686012,52.10826874,8.539528847,52.10792923,7.109158516,52.11149597,15.45657349,NA,NA,52.09838104,5.159375668,NA,NA,52.11588669,16.92434502,52.10455704,5.023207188,NA,NA,NA,NA,52.10707474,9.252691269,52.10599518,5.124683857,NA,NA,NA,NA,NA,NA,9,0.29
76,20-3n6,,PUFA,Euglenophyceae,NA,NA,53.43297958,3.069078684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.40846252,5.225542545,53.44148254,3.999861956,NA,NA,NA,NA,53.44124603,6.959517002,NA,NA,53.43255997,4.225726604,NA,NA,53.45195389,5.315682888,53.43967056,3.101255655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.23
77,20-4n6,ARA (arachidonic),PUFA,"produced by very few higher plants and algae, must be elongated from LIN",54.19691849,11.76159668,54.19989395,17.21221924,54.20029068,13.71750641,54.20856094,9.856884956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.16487503,10.60881138,54.21755219,5.981044292,54.23907852,40.12348175,54.21474838,31.89049149,54.21146393,22.71922684,54.17812347,29.72821426,54.21723557,31.14982414,54.22924042,52.27446747,54.22783279,51.67783737,54.22069168,47.08879471,54.19326019,23.93664169,54.20742416,32.60276413,54.19830322,6.573114872,54.23264694,57.92898941,54.21712494,40.70595169,54.19664383,5.600206375,54.20196533,10.19667244,54.21629333,39.25543976,54.21414185,34.23386765,54.20723343,27.90041351,54.18259048,6.939241409,54.19822693,5.547167301,26,0.84
80,20-4n3,,PUFA,Euglenophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.79788208,3.448943615,NA,NA,56.76610184,5.231630802,56.80543518,6.115667343,56.81293488,6.272379398,NA,NA,56.81052399,17.76654434,56.78760529,3.292873859,56.7971344,6.143041611,NA,NA,56.82594299,20.29616356,56.80782318,8.483345985,NA,NA,NA,NA,56.81553268,10.9758482,56.81538391,8.083737373,NA,NA,NA,NA,NA,NA,11,0.35
81,20-5n3,EPA (eicosapentaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",57.6076355,17.97271729,57.61313629,27.60232353,57.6190834,29.69348145,57.62641525,17.85762024,57.61038589,6.763072968,NA,NA,57.62040329,8.016283989,57.61607742,6.609313965,51.3687706,6.804134846,57.57842255,18.32629967,57.63285065,19.14300919,57.64295197,35.47109985,57.62408066,36.67354202,57.62427521,31.87858963,57.59685135,47.89105606,57.64011765,51.8596077,57.66515732,106.2260056,57.64920807,76.90584564,57.66865158,119.8295135,57.64318085,107.0852432,57.63059235,55.27187347,57.61257172,9.428109169,57.71817017,238.7593536,57.68015289,149.535965,57.61582184,11.4116497,57.61881256,13.14283276,57.71281815,245.3737946,57.72251129,271.4318542,57.61945343,17.51947021,57.60157394,6.400332451,57.611866,4.357056618,30,0.97
82,,,,,NA,NA,NA,NA,59.60740662,3.303533316,59.6230011,5.87182045,59.61371994,7.501466274,59.59124374,7.988208294,59.62150192,5.05162096,59.60920334,3.295910358,57.58073044,5.033689976,59.5789566,6.33715868,59.63195419,5.326918602,59.63193893,3.46809268,59.61383057,5.042446613,59.61647415,4.387860298,NA,NA,59.59487152,4.65571785,59.59588623,3.352419615,59.59207153,4.63220644,59.59728622,10.19410229,NA,NA,59.58378983,5.507991314,NA,NA,59.62080002,14.75404072,59.59743881,9.327610016,NA,NA,59.58850479,4.786294937,59.59333801,5.972508907,NA,NA,59.5763855,3.493183374,NA,NA,NA,NA,22,0.71
87,22-4n6,,PUFA,Euglenophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.79380798,3.31383872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.82232666,4.993761063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.06
88,22-5n6,DPA (docosapentaenoic),PUFA, Cryptophyceae and Chrysophyceae (Synurales),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.51082611,9.083462715,66.51194,5.925729752,66.47535706,3.648210526,66.55376434,74.48634338,66.54077911,50.46545029,66.53246307,42.19494629,66.52220917,23.00471306,66.49293518,10.30857086,66.51504517,31.37049103,NA,NA,66.59163666,143.7628632,66.52966309,43.57110596,NA,NA,NA,NA,66.53875732,53.0692749,66.51761627,30.90755081,NA,NA,NA,NA,NA,NA,13,0.42
89,22-5n3,DPA (docosapentaenoic),PUFA,,69.45370483,5.659042835,69.45302582,10.59272766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.43473816,17.75571823,NA,NA,69.48043823,6.791810513,69.47290039,6.446064472,69.4822998,11.71539021,NA,NA,NA,NA,NA,NA,69.52944946,21.10168457,69.47207642,7.806593895,NA,NA,NA,NA,69.48905945,13.57946014,69.46764374,5.752178192,NA,NA,NA,NA,NA,NA,10,0.32
90,22-6n3,DHA (docosahexaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",70.36669159,48.01902008,70.38169861,72.05168915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.37467957,3.986858845,70.35701752,20.14608002,70.3587265,25.60998535,70.38150787,124.966774,70.39026642,53.55948257,70.46257019,177.4914246,70.42459106,116.7364731,70.5065155,283.4216309,70.35719299,48.25108719,70.4040451,96.12810516,59.5827446,3.469066381,70.62518311,586.104126,70.46141815,193.5158386,70.34832764,5.897792816,NA,NA,70.53182983,354.5535278,70.46777344,216.6755219,NA,NA,NA,NA,NA,NA,18,0.58
91,24-0,JSY?,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",NA,NA,NA,NA,NA,NA,NA,NA,71.00389862,6.50467968,NA,NA,NA,NA,NA,NA,59.58380508,5.314726353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.97502899,7.157942295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.1
92,24-1n?,,MUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.26119995,9.263426781,72.26407623,10.76920509,NA,NA,72.25546265,22.18441582,72.22982788,9.859509468,72.2328186,11.77606487,72.23844147,19.81520462,NA,NA,72.22927094,13.65325165,NA,NA,72.25372314,27.58982658,72.24191284,20.1282444,NA,NA,NA,NA,72.23974609,21.92356491,72.21331787,4.010005951,NA,NA,NA,NA,NA,NA,11,0.35
98,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.10759735,3.977096558,NA,NA,NA,NA,79.15309906,5.904663563,79.15563965,5.133348942,79.12057495,5.798847198,79.1360321,6.635583401,79.13130188,3.987236023,79.12910461,4.761342049,79.12863159,6.038869381,79.10614014,3.718204021,79.12424469,6.163952827,70.34140778,5.844266891,NA,NA,79.12450409,4.27086544,79.12213135,3.329970837,79.12702942,5.56189394,79.12644196,6.057980061,NA,NA,79.11639404,4.818005085,79.10438538,4.398184776,79.1122818,3.337033749,18,0.58
