Peak,structure,common_name,class,synthesizers,Reten_1_mirror_fish,Area1_mirror_fish,Reten_2_mirror_fish,Area2_mirror_fish,Reten_3_C_caddis,Area3_C_caddis,Reten_4_C_caddis,Area4_C_caddis,Reten_6_milk_caddis,Area6_milk_caddis,Reten_7_mirror_caddis,Area7_mirror_caddis,Reten_8_morg_caddis,Area8_morg_caddis,Reten_9_morg_caddis,Area9_morg_caddis,Reten_10_noname_caddis,Area10_noname_caddis,Reten_11_y015_caddis,Area11_y015_caddis,Reten_12_y025_caddis,Area12_y025_caddis,Reten_13_Z_caddis,Area13_Z_caddis,Reten_90_C_cal,Area90_C_cal,Reten_92_O_cal,Area92_O_cal,Reten_108_clear_caddis,Area108_clear_caddis,Reten_94_Z_cal,Area94_Z_cal,Reten_85_mirror_cal,Area85_mirror_cal,Reten_86_y025_cal,Area86_y025_cal,Reten_87_y015_cal,Area87_y015_cal,Reten_80_clear_chaob,Area80_clear_chaob,Reten_96_L_cal,Area96_L_cal,Reten_81_clear_clad,Area81_clear_clad,Reten_82_clear_cal,Area82_clear_cal,Reten_83_morg_cal,Area83_morg_cal,Reten_84_morg_clad,Area84_morg_clad,Reten_93_O_clad,Area93_O_clad,Reten_105_milk_cal,Area105_milk_cal,Reten_106_milk_chaob,Area106_milk_chaob,Reten_97_L_clad,Area97_L_clad,Reten_91_C_clad,Area91_C_clad,Reten_95_Z_clad,Area95_Z_clad,total_appearances,
26,,,,,NA,NA,NA,NA,25.39637756,3.922565699,25.4051342,6.673335075,NA,NA,25.37828445,2.017900467,25.40562057,2.169418812,25.40177345,1.857760549,25.38260651,3.285469294,25.38119507,3.951953173,25.40641785,2.460848808,25.40990829,8.29019165,25.40162468,18.71272087,25.40297508,14.84617996,NA,NA,25.40307236,29.12837982,25.40095139,7.792221546,25.40275574,4.758803368,25.39910316,17.13951874,NA,NA,25.39695358,18.03871155,25.39833832,8.018041611,25.40431213,36.81789398,25.40040588,20.49576759,25.39863777,6.470828056,25.4001503,10.7924118,25.39758301,14.13075256,25.39775848,6.433172226,25.39885902,7.028996944,25.38626671,3.854204655,25.39793968,14.39272785,26,0.84
29,,,,,26.11512756,2.640543222,26.12467003,2.653702736,26.13419151,2.679783106,26.1439743,2.452049255,26.12302208,2.415266514,26.11943817,2.501331806,26.1312561,2.496446848,26.12518311,2.501392126,26.12953758,8.356538773,26.13573837,7.76386261,26.14171028,2.246291637,26.1558342,3.252683878,26.14403152,3.539231062,26.13907242,3.113930464,26.13002014,7.306800365,26.09998703,3.639659882,26.09306145,2.054863453,26.08966255,2.103251934,26.10007286,2.254808187,26.06867218,2.139760256,26.08867073,2.247027636,26.08257484,2.600180149,26.14360237,2.624876738,26.11303139,3.36684823,26.08115387,2.094166517,26.09102249,3.167990446,26.10078239,2.158224583,26.09684753,2.134067297,26.07233429,2.05103898,26.05585289,1.856914759,26.06933594,2.831360579,31,1
31,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.42874908,4.21368742,NA,NA,27.45957565,3.069877148,27.45254898,7.134357929,27.45309448,4.513172626,NA,NA,27.44734764,4.839259148,27.44729233,2.277812481,NA,NA,27.44527626,4.164742947,NA,NA,27.44266319,3.120823622,27.4442482,2.866551638,27.44939232,10.9768219,27.44906807,6.675378799,NA,NA,27.44618607,4.208743095,27.44352531,7.114460945,27.44168854,3.933274746,NA,NA,27.42981148,2.468459606,27.44314957,3.745666265,16,0.52
32,16-0,,SAFA,t-POM,29.18048859,60.05001831,29.22314453,167.7549896,29.22754097,194.9248657,29.25460052,252.5829926,29.19970703,103.6860046,29.25889587,389.885437,29.23056984,172.9376526,29.21327591,133.9206543,29.24332047,316.3377686,29.22179604,237.1411285,29.24088097,195.5327911,29.25758934,240.1091309,29.27760315,358.327179,29.25990295,286.9136353,29.24367523,290.0067749,29.28328896,420.2233582,29.23870659,232.6644745,29.22878838,199.420166,29.26013184,326.1678162,29.17763901,75.97454834,29.24206924,265.9096375,29.2155571,165.1879578,29.30967522,555.3544922,29.28464699,413.5822754,29.21558571,163.9787598,29.23049164,199.880188,29.25286484,310.4258118,29.22979355,219.5191498,29.19596291,106.1043243,29.18924332,113.3125381,29.23165131,206.9620819,31,1
35,16-1n9?,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,NA,NA,29.78743172,5.801050186,29.78271294,4.853469849,29.79504776,4.394880295,NA,NA,29.7734127,7.533689022,NA,NA,NA,NA,29.77470589,3.575359821,29.76494408,5.514853477,29.79417801,4.677788734,29.80219841,7.822441578,29.8139286,18.77343178,29.80355072,16.17406654,29.77662849,9.993289948,29.80438232,8.115167618,29.81336594,2.766767025,NA,NA,29.82842827,11.60521889,NA,NA,29.78689957,4.781125069,29.78429985,5.516699791,29.80888748,11.18603325,29.80395317,31.89764786,29.78369713,10.3259306,29.79359055,14.55446434,29.79235268,3.486341715,NA,NA,29.78159714,6.779488564,29.77671623,5.798832893,29.7900219,11.56045532,24,0.77
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,30.13261795,22.74563217,30.1631794,107.8940887,30.13869667,35.88169098,30.15677643,54.70383835,30.13765907,28.84243965,30.14109993,85.59881592,30.15148926,44.66452789,30.13983345,26.75465584,30.12199783,24.3746891,30.13426971,77.31943512,30.15655327,49.21037674,30.17374992,90.34507751,30.19004822,165.4835663,30.16991425,101.6272507,30.17121315,184.6995697,30.17035103,103.3655167,30.14167976,22.07278633,30.13835907,15.89616489,30.14422417,33.13156891,30.11735153,11.2590332,30.14143562,37.33267975,30.13770676,27.72460365,30.18308258,131.5342407,30.18852425,160.8198547,30.14179802,45.69731522,30.1650753,101.033783,30.15393257,76.60489655,30.14108086,45.42907333,30.13913918,37.82129288,30.13616371,69.56352997,30.17565727,147.4388275,31,1
38,16-1n6,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.34138489,4.642585278,30.36825943,3.103230238,30.36441422,2.702410936,NA,NA,30.34581375,3.375715494,30.37222862,4.063903809,30.39700508,3.004988909,30.41078758,2.862896442,NA,NA,NA,NA,30.39899826,5.307274342,NA,NA,30.68173027,5.987483025,NA,NA,NA,NA,NA,NA,NA,NA,30.41617966,5.538543701,30.41203117,3.128777504,NA,NA,NA,NA,30.39570618,2.84931469,NA,NA,NA,NA,NA,NA,30.38783646,3.5454216,13,0.42
39,16-1n5,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,NA,NA,30.67692947,2.367202997,30.67573547,3.003577232,30.68532372,4.31007719,NA,NA,30.65609741,4.586418629,NA,NA,NA,NA,NA,NA,30.6580677,3.986015797,NA,NA,30.69219208,4.484535694,30.68624687,9.247582436,30.68545723,7.398258686,30.66104126,4.261592865,30.68272591,6.685977936,30.68041801,4.879556179,NA,NA,30.67647171,4.402616024,30.65918732,2.356625557,30.67429924,4.748585701,30.67686844,8.336698532,30.6956768,38.42290115,30.68571091,17.42850304,30.67575264,5.454623222,30.68076897,7.512189388,30.67844582,14.05995846,30.67496681,8.924150467,30.67697144,3.396496058,30.66215515,3.117462635,30.67694473,6.83868742,24,0.77
40,,,,,NA,NA,NA,NA,31.49395561,2.298091888,31.50126839,3.040585518,NA,NA,31.47098351,3.406568289,31.50080681,2.216854572,NA,NA,31.47346306,2.885047436,31.47059822,5.273311138,NA,NA,31.50709724,3.892935038,31.49868774,9.857953072,31.49956131,8.399643898,NA,NA,31.48998451,6.364057064,31.48888206,3.497860432,31.4910183,5.151728153,31.4871254,6.461574078,31.47117043,5.061304569,31.48613358,5.248898983,31.48834991,10.10185814,31.50484085,38.63804626,31.49287415,13.46193886,31.48734474,3.843420982,31.49072838,8.299765587,31.48195839,9.023931503,31.28027916,2.170385122,31.48693466,2.976380348,31.47043991,4.208520889,31.48491096,4.379362106,25,0.81
42,,,,,NA,NA,NA,NA,32.21778488,11.27962399,32.22990417,7.287350655,NA,NA,32.0905571,2.655182838,32.12324905,2.94413209,32.11740875,3.443467379,32.09580612,9.223233223,32.19804764,3.06603384,32.23149109,5.368885517,32.13132858,11.17796516,32.12086487,6.996881008,32.12126923,5.591868877,32.19918442,3.892063856,32.11447525,9.081670761,32.11426163,7.691358566,32.11193085,5.151011944,32.11138153,14.2222147,32.09135056,5.919813633,32.10700607,4.924046516,32.106987,9.657501221,32.13198471,48.71154404,32.11667252,21.31278038,32.10790253,4.860078335,32.11194992,5.708376408,32.11682129,31.01559448,32.11157608,18.73678017,32.10972214,3.318203926,32.09128189,3.321052551,32.10754776,6.029593468,28,0.9
