Peak,FA_name,Common_name,Class,synthesizer,Reten_1_mirror_fish,Area_1_mirror_fish,Reten_2_mirror_fish,Area_2_mirror_fish,Reten_3_C_caddis,Area_3_C_caddis,Reten_4_C_caddis,Area_4_C_caddis,Reten_6_milk_caddis,Area_6_milk_caddis,Reten_7_mirror_caddis,Area_7_mirror_caddis,Reten_8_morg_caddis,Area_8_morg_caddis,Reten_9_morg_caddis,Area_9_morg_caddis,Reten_10_noname_caddis,Area_10_noname_caddis,Reten_11_y015_caddis,Area_11_y015_caddis,Reten_12_y025_caddis,Area_12_y025_caddis,Reten_13_Z_caddis,Area_13_Z_caddis,Reten_90_C_cal,Area_90_C_cal,Reten_92_O_cal,Area_92_O_cal,Reten_108_clear_caddis,Area_108_clear_caddis,Reten_94_Z_cal,Area_94_Z_cal,Reten_85_mirror_cal,Area_85_mirror_cal,Reten_86_y025_cal,Area_86_y025_cal,Reten_87_y015_cal,Area_87_y015_cal,Reten_80_clear_chaob,Area_80_clear_chaob,Reten_96_L_cal,Area_96_L_cal,Reten_81_clear_clad,Area_81_clear_clad,Reten_82_clear_cal,Area_82_clear_cal,Reten_83_morg_cal,Area_83_morg_cal,Reten_84_morg_clad,Area_84_morg_clad,Reten_93_O_clad,Area_93_O_clad,Reten_105_milk_cal,Area_105_milk_cal,Reten_106_milk_chaob,Area_106_milk_chaob,Reten_97_L_clad,Area_97_L_clad,Reten_91_C_clad,Area_91_C_clad,Reten_95_Z_clad,Area_95_Z_clad,total_appearances,availability,availability > 1.0,availability > 0.9,availability > 0.8
21,14-3n?,,PUFA,,NA,NA,NA,NA,NA,NA,23.49716377,2.92997241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.50439644,2.174236059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.064516129,,,
22,i15-0,,SAFA,bacteria,NA,NA,NA,NA,23.83912468,1.780843377,23.84665489,3.769045115,NA,NA,23.81925392,2.048447132,NA,NA,NA,NA,NA,NA,NA,NA,23.8482151,1.745215654,23.84981918,4.824941158,23.84004593,17.03572845,23.84061241,13.41611576,NA,NA,23.83909607,12.16024685,23.83987808,11.28899002,23.8424015,10.16940022,23.83992386,23.80042458,NA,NA,23.83496666,6.156296253,23.8382225,14.07558346,23.84939766,55.03609467,23.84017372,27.91177177,23.83909225,7.407576561,23.84019279,10.68257904,23.83605576,23.86857414,23.83674622,9.187203407,23.84273148,2.047887802,23.82574081,4.189491749,23.83642197,12.75278473,22,0.709677419,,,
23,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.11083984,3.401964188,24.1115818,1.94771266,NA,NA,NA,NA,24.11476326,1.825108171,24.1150074,3.360044956,24.1131897,3.328696012,NA,NA,NA,NA,24.11112213,3.217230082,24.11329651,18.16333199,24.1114521,8.870362282,24.11166954,3.33568716,24.11330032,1.67125845,24.10912704,7.197844028,24.11074829,2.399925947,NA,NA,NA,NA,NA,NA,12,0.387096774,,,
24,a15-0,,SAFA,bacteria,NA,NA,NA,NA,NA,NA,24.33223534,1.624705791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3362484,3.111984491,24.32583046,11.34187984,24.32683945,6.880585194,NA,NA,24.32536888,9.392165184,24.32587242,9.807372093,24.32764626,3.772555113,24.32353783,10.10333538,NA,NA,24.32177162,3.239655972,24.32339096,7.374485493,24.33214951,39.96210861,24.32441521,18.90422058,24.32496452,4.868420601,24.32566071,5.592789173,24.32138634,14.92420864,24.32289696,5.597839355,24.32883263,1.673113108,24.31127167,3.198622704,24.32312012,11.67530537,19,0.612903226,,,
25,,,,,24.73501968,1.875648141,24.74781418,1.814713001,24.7634182,1.891028166,24.77734947,2.034653187,24.74779129,1.834339738,24.75424957,1.924986124,24.7562294,1.78393507,24.75027657,1.830002427,24.74797249,1.879522681,24.76062584,2.248664379,24.77287292,1.834348559,24.79046249,1.921420574,24.76962852,1.886434436,24.76499939,2.054297924,24.74754143,1.811336756,24.73320961,1.582490563,NA,NA,24.71817589,1.560165405,NA,NA,24.69618797,1.583920836,24.71861458,1.521123648,24.71136475,1.471202135,24.79117775,1.930691957,24.74870682,1.514927745,24.70915985,1.970144391,24.72388077,2.315345287,24.73257065,1.641186595,NA,NA,NA,NA,NA,NA,NA,NA,25,0.806451613,,,1
26,15-0,,SAFA,,NA,NA,NA,NA,25.39637756,3.922565699,25.4051342,6.673335075,NA,NA,25.37828445,2.017900467,25.40562057,2.169418812,25.40177345,1.857760549,25.4011097,2.148168564,25.40969849,2.168139458,25.40641785,2.460848808,25.40990829,8.29019165,25.40162468,18.71272087,25.40297508,14.84617996,NA,NA,25.40307236,29.12837982,25.40095139,7.792221546,25.40275574,4.758803368,25.39910316,17.13951874,NA,NA,25.39695358,18.03871155,25.39833832,8.018041611,25.40431213,36.81789398,25.40040588,20.49576759,25.39863777,6.470828056,25.4001503,10.7924118,25.39758301,14.13075256,25.39775848,6.433172226,25.39885902,7.028996944,25.38626671,3.854204655,25.39793968,14.39272785,26,0.838709677,,,1
27,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.67424965,1.852065921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.69234657,2.282611847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.064516129,,,
28,,,,,NA,NA,NA,NA,NA,NA,25.88819122,1.786906242,25.88009071,2.885294914,25.85997963,3.482520342,25.88598824,2.780808926,25.88103676,3.330834866,25.88008118,4.965792179,NA,NA,25.88890839,2.199823856,25.89279175,3.270172596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.258064516,,,
29.5,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.44410896,2.289787531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032258065,,,
31,i16-0,,SAFA,bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45957565,3.069877148,27.45254898,7.134357929,27.45309448,4.513172626,NA,NA,27.44734764,4.839259148,27.44729233,2.277812481,NA,NA,27.44527626,4.164742947,NA,NA,27.44266319,3.120823622,27.4442482,2.866551638,27.44939232,10.9768219,27.44906807,6.675378799,NA,NA,27.44618607,4.208743095,27.44352531,7.114460945,27.44168854,3.933274746,NA,NA,27.42981148,2.468459606,27.44314957,3.745666265,15,0.483870968,,,
