"","cnT","d13CT","d15NT","d2HT","mean_cnA_lake","mean_d13CA_lake","mean_d13Cperi_lake","mean_d15NA_lake","mean_d15Nperi_lake","mean_d2HA_lake","mean_d2Hperi_lake","mean_eH_lake","sd_d13Ca","sd_d13Cperi","sd_d15Na","sd_d15Nperi","sd_d2H2O","sd_d2Hperi"
"1",54.373382090584,-28.3959293499446,-6.30004403263091,-162.459055205668,6.82267399647824,-31.7329344684982,-20.3032791680873,-1.01476607375003,-7.58909426446138,-285.817998217018,-240.981539574335,-204.01110741791,3.8570458900966,5.30003178294425,2.95388026830026,3.38193082691864,14.811340725314,15.1814945025332
"2",57.8498867888796,-28.3973998347313,-6.97706211889483,-158.441868665757,6.53142545184286,-31.1545151148868,-22.6631943990369,-1.6103495480928,-6.612998573945,-288.27796968443,-241.432766586864,-204.01110741791,4.04264903557723,4.41328760486317,2.93522585945112,3.25321972776614,17.0316479959952,18.3252315189819
"3",42.3150529641354,-28.4763487941576,-6.00991763342087,-157.093178410696,6.99105213036842,-31.1998549533704,-25.0566822051371,-0.553192956887476,-6.48116953980539,-240.848365504992,-212.295264872107,-204.01110741791,4.44496083688384,3.60840612652535,3.19181647724166,6.28913075881735,19.1694532986014,18.5543790992843
"4",52.8201176514376,-28.447028851029,-5.57947298233092,-159.62225265966,6.41087315175674,-30.2217598019492,-25.1799239430972,-0.392166908009419,-5.32970414045341,-264.203196753761,-212.220146218696,-204.01110741791,3.57161168397348,3.81704689196239,3.65754271402531,4.10218676406316,17.5645917909081,14.3808893890471
"5",50.344249795266,-28.6920004699749,-6.72650749670482,-160.944916457982,5.92483070098723,-31.8021208928408,-25.1507107902511,-0.602695790723189,-6.9165621992413,-261.511778787146,-218.577806089113,-204.01110741791,3.69751108376194,3.29945834602423,2.92397596643495,3.70590665541882,15.8029978259244,13.9564118181278
"6",47.6345425669695,-28.4313411170807,-6.96131921453364,-155.209161384711,6.21839473836154,-31.3139583261808,-25.0153540418567,-0.621314505528929,-7.59084213173547,-251.697466055765,-215.534193491759,-204.01110741791,3.64382689532027,3.07704887733009,2.94321940217386,3.96170326562892,16.3065031320061,13.9078062287764
"7",64.289153661173,-26.8065039728182,-6.5718467019484,-160.753961046936,6.66949973016961,-28.0846782815033,-19.7259793059896,-2.00446390284577,-6.20858252325304,-290.197361626746,-239.965177301142,-204.01110741791,5.49769883162206,9.42561040877824,3.03756983935989,4.00520316702859,14.9489808047839,13.1206556473979
"8",68.7241538191793,-26.1587666526331,-6.63521988457519,-157.2693772021,6.67340132071266,-30.1776251820778,-19.6771736023541,-1.88471037325435,-7.5071884394201,-280.750510015959,-242.560020199674,-204.01110741791,4.93503845034587,4.98018147900422,4.50714679908726,3.28052635447533,15.6090808534375,14.6688019808817
"9",65.9767372694567,-26.4846300502557,-7.18503898596452,-162.145396521579,6.4446585268008,-29.9197352870807,-21.7864621097389,-1.43014702369742,-6.57327198834718,-291.21478168345,-242.941519441178,-204.01110741791,5.83769921464222,5.26905973164745,3.13780756432033,3.33050874761678,14.8462869647739,15.180141848935
"10",49.3328921384071,-28.2859012091799,-6.37367375511218,-158.974128475164,6.46457744858422,-31.7479370065827,-22.7443147742739,-0.630632415172567,-7.35321432636768,-291.361415471711,-225.861431769339,-204.01110741791,6.1480939494478,4.42529965705456,3.42204627171877,3.3942993049869,15.3010557211143,13.9969885821554
"11",64.9498238873194,-26.6915138220096,-6.89703878790513,-154.32558181423,7.03651066019108,-31.5519404470889,-22.1414423029482,-1.85462129368484,-7.47824914995011,-300.080843577493,-241.306765419384,-204.01110741791,7.57513522582483,5.38724315317583,3.25825330644903,3.26990940855294,17.8796446729368,14.2619135166404
