"","cnT","d13CT","d15NT","d2HT","mean_cnA_lake","mean_d13CA_lake","mean_d13Cperi_lake","mean_d15NA_lake","mean_d15Nperi_lake","mean_d2HA_lake","mean_d2Hperi_lake","mean_eH_lake","sd_d13Ca","sd_d13Cperi","sd_d15Na","sd_d15Nperi","sd_d2H2O","sd_d2Hperi"
"1",52.7456693254985,-28.3860371128677,-6.05024665522183,-160.492666477524,6.83516174016264,-31.7979803321616,-20.0232976840265,-1.02919198792343,-7.58278295345331,-285.190460620723,-240.048016543102,-204.01110741791,3.99926307632957,5.15206906788233,2.97713832769827,3.59635209819985,15.0654270656871,15.2191229906847
"2",47.8467065678607,-28.5403026441088,-6.35865010099381,-161.161876292705,7.02318469427833,-31.1211567893114,-22.8399786620457,-1.49378449404639,-7.01008497984091,-287.268734106371,-236.75739715844,-204.01110741791,3.79174787176595,4.32720094965372,2.79089992608039,3.26996334678998,15.7381223088684,17.3163795550037
"3",55.4530780162336,-28.3107604450855,-5.70670736607738,-161.106383601109,6.42414095970485,-30.6467853023521,-25.0400151524552,-0.481466521816246,-6.20911584425064,-241.088605247073,-213.668282217579,-204.01110741791,4.90298165908798,3.72630988381733,3.16024218072421,6.10018883118037,18.9977617642579,14.8064957496973
"4",53.1811165316768,-28.6504099985575,-5.77320206419738,-159.681445312014,6.56499405575505,-30.3269024196305,-25.233628108684,-0.256409065925594,-5.24415079313344,-263.658357748733,-213.226049445702,-204.01110741791,3.97601509836814,3.84562677066249,3.58311279609712,4.2650686096077,16.6933648015077,14.3443612312341
"5",49.1840149291356,-28.5343525493922,-7.10787917094939,-160.37002583993,6.63526656921905,-31.7479784384723,-25.0293300472835,-0.74544886208098,-6.92319648067929,-260.696067912493,-213.985001876314,-204.01110741791,3.67234884875947,3.30897814640268,2.9564590749168,3.58752307678122,15.5420618788534,13.8700682992709
"6",50.0601812584086,-28.1587886731386,-6.60252314656104,-157.745620192022,6.3967149916739,-31.4416980039555,-24.8741909751375,-0.760473395956682,-8.30336584773275,-252.048520475758,-221.508986070983,-204.01110741791,3.39722110139153,3.26099601434442,2.93663757135828,3.78450606052261,16.8285767425672,15.3977974616623
"7",62.7593195896991,-26.8774598789166,-7.19905250016908,-161.654175288264,6.35777143127955,-27.8928162829159,-20.0828953577008,-1.79098053372947,-6.61904525926778,-290.385472123276,-239.952440895899,-204.01110741791,5.45972908541376,9.91037768350625,3.32441504770004,3.79921036850962,15.1375591823065,14.8290319273991
"8",68.3459560520535,-26.5757091757137,-6.56338375639762,-158.060902007033,6.15031353453879,-30.1330054364462,-19.7665822941684,-2.36530147156533,-7.49735917338292,-280.533852183361,-240.347768314746,-204.01110741791,5.12155714163966,5.38649854318304,4.94296442525275,3.25851042058099,17.1901862703736,13.885573847676
"9",68.0437086319629,-26.5032852789217,-6.62809256985875,-158.907554051844,6.59448544610766,-29.7065218932176,-21.8015556121861,-1.28989543606754,-6.60442331523403,-290.58028267151,-242.916008976382,-204.01110741791,6.35783671183207,4.99445807188306,3.17325172545746,3.12213441856618,14.7834446244782,14.3102199110802
"10",48.3708208832487,-28.3730344783811,-5.53901753559585,-159.087023548547,6.40227184538189,-31.6909248401642,-22.8158484195508,-0.920813343381505,-6.45752542162153,-291.475554401619,-235.694456567973,-204.01110741791,6.27359509021018,4.64606976351232,3.41281937092123,3.43667156509352,16.8664384133875,15.2600682522425
"11",61.6865575575045,-26.7366882105732,-7.1928688802652,-156.459855402497,6.27643093059106,-31.8238056227811,-21.9529547905604,-1.90439171268283,-7.40791571853746,-300.146950813237,-239.889637899174,-204.01110741791,7.81984821255032,5.25055568143728,3.2754268238996,3.28638703739411,17.252104843895,12.4377787725645
