"","cnT","d13CT","d15NT","d2HT","mean_cnA_lake","mean_d13CA_lake","mean_d13Cperi_lake","mean_d15NA_lake","mean_d15Nperi_lake","mean_d2HA_lake","mean_d2Hperi_lake","mean_eH_lake","sd_d13Ca","sd_d13Cperi","sd_d15Na","sd_d15Nperi","sd_d2H2O","sd_d2Hperi"
"1",56.2973992489228,-28.0637780934014,-6.2483201742771,-161.976490611592,6.69963519754902,-31.7260316255298,-20.6893969099913,-0.881397811824306,-7.40420931579625,-234.579347222879,-240.606651008487,-152.065669660981,3.81100057947907,5.51158683421619,2.89612454945667,3.39253099807248,19.173655117503,14.6232445601455
"2",55.3070207908109,-28.5450028517046,-5.68298238557862,-161.76937951962,6.69963519754902,-31.2125663580413,-22.7482249711292,-1.47614965869421,-6.66531728375339,-237.424834775428,-241.127608891615,-152.123375744681,4.00389703951367,4.3045338722364,3.08415956527535,3.38428103537959,18.4225113106304,17.0741196726265
"3",40.5794300288115,-28.2694278115523,-6.31203281494421,-159.191308595394,6.69963519754902,-30.7378209748891,-25.0487011910446,-0.414056498055585,-5.78933623032685,-201.039128865671,-214.634845065389,-152.455997567622,4.78529819836488,3.60373041166348,3.30761120422731,6.20958778999532,21.5689755026722,16.3240802752328
"4",52.0069935365356,-28.4812703375701,-6.08030306540058,-160.12541486609,6.69963519754902,-30.3051552286365,-25.1913491119435,-0.136445863919296,-5.32117387045611,-199.385874031825,-212.348091798072,-145.121327534083,3.72764338857692,3.90208911283284,3.56144703769271,4.3902465133492,18.8848048280138,14.8038713589945
"5",53.5733324367591,-28.1864469012489,-6.48489740434362,-162.014231323209,6.69963519754902,-31.5041303054573,-25.0467703001667,-0.623435781811202,-7.05273806431567,-200.832765725147,-217.759190322502,-153.696796626785,3.66342788479496,3.39865209950528,2.98247197513062,3.74058513799139,19.8259381689517,13.260258828225
"6",51.7661759803721,-28.3512805154052,-6.43962103480733,-162.690480411154,6.69963519754902,-31.4585830835844,-25.0759357476678,-0.692008944138478,-7.04532653782286,-203.588767460411,-219.458210851303,-149.530840747615,3.80493714726493,3.29762426462931,2.84064681434766,3.94722016204544,19.3105358813116,14.7360946686935
"7",69.7160718280123,-26.276612835841,-6.53067107626133,-159.3035179012,6.69963519754902,-28.2252946218497,-18.9344564854214,-1.97052880645998,-7.18812715809828,-237.010015867964,-239.139770634521,-150.272981242206,5.55101844953995,9.7648023978369,3.20136163867634,3.72890425160464,17.3241265622293,13.06013190284
"8",64.7917313129389,-26.197964248354,-6.94223564013629,-160.76736298436,6.69963519754902,-30.1911097626779,-19.5045866852874,-2.1660248118005,-7.57967837404611,-239.100490856395,-241.169383818985,-151.745827218602,4.70495737992921,5.65770574932809,4.87429461888548,3.3003707066826,19.9185288904326,13.7347553364388
"9",68.5515775117331,-26.4919824890298,-6.31290148709574,-158.149862766808,6.69963519754902,-29.1102972943921,-21.5424604739196,-1.33613757875944,-6.68810635425378,-228.955141371237,-243.055185213414,-149.239157282276,6.25888873552998,5.01764736260304,3.18127689964923,3.0396785477229,18.2841197386925,14.4490004866053
"10",44.3250596049128,-28.376808143434,-6.0044680500123,-156.923992411563,6.69963519754902,-31.7331023067493,-22.8605839901654,-1.09298482241555,-6.47752127062709,-231.927943382814,-225.270674930819,-146.082440878862,6.52960255743719,4.59285110202176,3.58207368261056,3.52228723981502,20.3627826298803,14.8264707889823
"11",64.1269402140469,-26.6168724301204,-7.40343359015895,-157.53531183895,6.69963519754902,-30.972324188245,-21.9547450177171,-1.86735039644699,-7.4074337516851,-229.373569377745,-241.86911648872,-145.713201761008,7.53376411214989,5.42777364935737,3.28428353318201,3.33409043919531,17.8182114455166,12.3926293272882
