"","cnT","d13CT","d15NT","d2HT","mean_cnA_lake","mean_d13CA_lake","mean_d13Cperi_lake","mean_d15NA_lake","mean_d15Nperi_lake","mean_d2HA_lake","mean_d2Hperi_lake","mean_eH_lake","sd_d13Ca","sd_d13Cperi","sd_d15Na","sd_d15Nperi","sd_d2H2O","sd_d2Hperi"
"1",55.4882348877472,-28.547189573356,-6.82889900050094,-158.991859102895,6.66193031508562,-31.8024898272168,-19.9511785156546,-0.999115137663261,-7.44605471271598,-231.74541441594,-239.95283376117,-149.991832780948,4.03465029854173,5.35232108920551,2.6948496115321,3.58806973748101,16.2488302188486,15.2108789066978
"2",48.7781444899726,-28.1963337347047,-6.14192402846861,-162.136309486989,6.80316762059796,-31.0218259855563,-22.73237696537,-1.42606352364546,-6.74074070350941,-234.094945177922,-240.830059241738,-149.991832780948,3.92444855479802,4.174532953296,2.90205138915771,3.3720214248762,15.9566150376853,17.5589143930223
"3",39.8036462858241,-28.530184446519,-6.71279963293528,-155.651183784076,6.54412951095805,-30.771711000793,-24.9220256208718,-0.430969230233689,-6.41299494314663,-187.674692082677,-211.558156713526,-149.991832780948,4.4941595823011,3.64056069069608,3.26096982228649,6.16779158655411,19.1850744340071,15.2880870264396
"4",43.3056960157035,-28.539792661043,-6.03605762202698,-161.136406422929,6.68223374953948,-30.4406577934814,-25.045336271429,-0.466271572675112,-5.54350991669365,-209.202841519447,-213.336305381962,-149.991832780948,3.90350188824798,3.81483880773597,3.40799146208628,4.55122137595238,15.0655869587025,14.2047522713824
"5",49.2866199221438,-28.5465147304081,-6.04156336666602,-161.728735311473,6.41125679625629,-31.7534017286429,-24.9995744872969,-0.383533599785975,-6.93187530979943,-206.592910253178,-216.224616540391,-149.991832780948,3.88675564523286,3.19472244344002,2.92591175370383,3.70106710052551,16.2296138415128,13.6363422577759
"6",53.2882931517343,-28.3950026046297,-6.54354915400453,-159.913276853741,6.65011148669743,-31.4643580949652,-24.91497938285,-0.852637845732787,-7.66775616397163,-197.902195506447,-221.690354173244,-149.991832780948,3.70103754753424,3.01808208895726,2.93667138885817,4.00585236814899,14.9385247941983,13.9985127165419
"7",69.1525814968226,-26.6089979930681,-6.03743473857244,-156.988458272285,6.72244821332567,-27.8050578218277,-21.0677827636654,-2.01874137666532,-6.23005789038239,-236.49717985716,-240.137198197245,-149.991832780948,5.42789497286665,9.82266985479591,3.14692742082687,3.74198495372407,15.506739236148,13.0441770781924
"8",63.4580644644093,-26.7638773916389,-6.93363447012142,-166.122075220952,6.84034444792236,-30.1099045131901,-20.0034737855386,-1.77623738035481,-7.4452380824337,-226.439118964003,-241.142314084584,-149.991832780948,5.30850213939522,5.62229112765736,4.96040150811548,3.31968185234004,17.3033013245742,13.7661770695238
"9",68.6462474446881,-26.3637723722125,-7.456015269715,-161.856198488619,6.40928411137358,-27.1768599504797,-21.8766154990508,-1.37617197890973,-6.68369431291746,-236.129000125961,-242.908786024131,-149.991832780948,5.93419341042394,5.01410348570134,3.26271207532614,3.2849115731338,14.6095982130956,14.0340631547534
"10",52.4399997012917,-28.3764432769004,-5.83795916444955,-162.149285328691,6.81361596058159,-31.3908654202601,-22.957068523099,-1.1415476312134,-6.59638191002459,-237.487598608501,-228.21285532454,-149.991832780948,7.05352284438433,4.80823850884545,3.29275876245872,3.42543194844544,15.3420901649449,15.1950469450112
"11",69.7282039312387,-27.3014447752286,-6.4205055640837,-160.750368285513,6.38819349596992,-31.0227726904657,-21.9526159421706,-1.85708978930136,-7.36076861214219,-246.774600547389,-241.73466103351,-149.991832780948,7.97200142303065,5.50618829679899,3.46796797687195,3.31900513757594,16.5406499262279,13.3268630211997
