"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"O","Cladocera",-3.18121786913539,-0.61880414017933,-5.84414491328797,-6.19239,-27.5683151062841,-30.8730382349448,-24.864956886894,-28.37235,-176.721943160322,-202.918085470942,-216.63840032227,-161.4372422,1.41359741331241,3.65239048201289,6.32877906143992,2.72679794,1.50116756579581,4.70440532093757,3.6210781946878,1.540348521,10.4507791480594,17.9825757553457,15.4389621724237,15.47038337
"Z","Cladocera",-2.76584733473429,-0.43242663482458,-7.35090761165561,-6.19239,-28.9331048307947,-31.89861278533,-24.8360134274119,-28.37235,-177.117480549371,-199.611136810898,-223.140860194822,-157.3064625,1.48503524878232,3.00999658384145,3.56250984485619,2.72679794,1.60828583803917,3.87239336679431,3.32954765227901,1.540348521,9.98519173473478,17.5604490071342,13.3717309092635,15.47038337
"Mirror","Salvelinus",-0.255142694746894,-1.66017067897836,-7.13288570887139,-6.96259,-19.1824346028537,-28.1161809297543,-20.4434905326001,-26.644,-218.034675841977,-240.421978567046,-243.088841978747,-161.4372422,1.60856525906621,3.09893043229015,3.87423294366435,2.597857878,1.42703749533937,5.36224801911044,10.5542077924597,1.617015005,9.79019629535722,18.0321793012569,13.022628379162,19.03892533
"Mirror","Salvelinus",0.118321181074435,-1.66017067897836,-7.13288570887139,-6.96259,-20.1682077006744,-28.1161809297543,-20.4434905326001,-26.644,-199.280523356757,-240.421978567046,-243.088841978747,-161.4372422,1.51331362552662,3.09893043229015,3.87423294366435,2.597857878,1.45317139573307,5.36224801911044,10.5542077924597,1.617015005,9.83352933778619,18.0321793012569,13.022628379162,19.03892533
"C","Trichoptera",-2.73220793392311,-0.568257828116714,-5.65560375653137,-6.19239,-25.0971582530467,-30.6099299500025,-25.004507838478,-28.37235,-198.834211571689,-200.042273949813,-218.280949176635,-157.3064625,1.45253220374332,4.08678529957558,4.12174889226158,2.72679794,1.40968120070774,3.51121459452221,3.40431348467309,1.540348521,9.8248957798713,17.2078254523263,14.392517523965,15.47038337
"C","Trichoptera",-3.4554662711862,-0.568257828116714,-5.65560375653137,-6.19239,-26.0291036854346,-30.6099299500025,-25.004507838478,-28.37235,-191.721806573476,-200.042273949813,-218.280949176635,-157.3064625,1.55271138465731,4.08678529957558,4.12174889226158,2.72679794,1.51486639983184,3.51121459452221,3.40431348467309,1.540348521,11.4496766986917,17.2078254523263,14.392517523965,15.47038337
"Clear","Trichoptera",-6.04255896874234,-0.627437897979545,-6.35461279041273,-6.19239,-25.6891221605685,-31.8308686735225,-22.5989244357265,-28.37235,-196.616635596182,-233.323595233946,-233.666122032872,-161.4372422,1.48758089385566,3.71586135752323,3.41042653078333,2.72679794,1.41515587137929,6.45662695746875,4.19713099497665,1.540348521,10.7573792433844,20.1413966239932,14.9852709205525,15.47038337
"Milk","Trichoptera",-6.10608174918089,-1.76207190429269,-7.48493960221365,-6.96259,-24.9781076597173,-31.1558818007549,-21.8429775909089,-26.644,-237.962548164466,-241.88497483148,-243.502396985442,-157.3064625,1.56382263124468,3.15105611080426,3.22710067094035,2.597857878,1.56021116641095,8.46743876813228,5.18817258357384,1.617015005,11.0823541457357,18.0565512315875,13.3311745689647,19.03892533
"Mirror","Trichoptera",-5.21275875141836,-1.66017067897836,-7.13288570887139,-6.96259,-23.0235342271504,-28.1161809297543,-20.4434905326001,-26.644,-240.587869194298,-240.421978567046,-243.088841978747,-161.4372422,1.52922193845818,3.09893043229015,3.87423294366435,2.597857878,1.53998985636403,5.36224801911044,10.5542077924597,1.617015005,10.4120688905439,18.0321793012569,13.022628379162,19.03892533
"Morgenroth","Trichoptera",-4.82203195919068,-0.782229038333873,-7.60265701312123,-6.19239,-25.3716438868191,-31.9928106650797,-21.5018717834279,-28.37235,-236.114212253386,-232.867949454247,-240.888084753087,-161.4372422,1.42641413044926,3.11746111373204,3.38162370065477,2.72679794,1.5505333708705,4.05417116515295,5.21834348552429,1.540348521,10.7201524099679,18.7663654121215,16.2297773147741,15.47038337
"Morgenroth","Trichoptera",-4.91317919485638,-0.782229038333873,-7.60265701312123,-6.19239,-23.7849458216566,-31.9928106650797,-21.5018717834279,-28.37235,-242.56637639351,-232.867949454247,-240.888084753087,-161.4372422,1.7951817366763,3.11746111373204,3.38162370065477,2.72679794,1.53711693155336,4.05417116515295,5.21834348552429,1.540348521,9.37412114549762,18.7663654121215,16.2297773147741,15.47038337
"No Name","Trichoptera",-5.36529674967312,-1.19434614057558,-6.94373884039237,-6.19239,-27.4228530321024,-31.4848376795926,-22.7036722652194,-28.37235,-258.633003009689,-232.203401598568,-242.21363188383,-161.4372422,1.56231334679719,2.8243986184125,3.11532071814775,2.72679794,1.56040965578545,3.74052113616799,4.01699933062786,1.540348521,9.41610101597895,19.0384192209847,18.9396460161249,15.47038337
"Y-015","Trichoptera",-4.98169959209334,-1.55759068909265,-7.59630419288886,-6.96259,-21.9284545203227,-30.2886425435791,-19.2157603733515,-26.644,-250.134129743557,-236.289822771255,-244.287985874225,-157.3064625,1.53213250388904,4.5836641901941,3.05758255742833,2.597857878,1.46876063297283,4.78805552816041,5.2733706095311,1.617015005,10.1498085141946,20.4376357585841,14.1661367023717,19.03892533
"Y-025","Trichoptera",-5.81393243497578,-1.11315590021845,-6.8739532838757,-6.96259,-22.8984668460075,-27.6958289582392,-21.5167936724311,-26.644,-246.940908869719,-238.00368808505,-246.044429125817,-157.3064625,1.47688558466445,3.07998636794138,3.19216902944395,2.597857878,1.50378339476257,6.13168272153159,5.27352431980162,1.617015005,10.577116488337,19.3628389386704,14.6242927898809,19.03892533
"Z","Trichoptera",-2.71223748266905,-0.43242663482458,-7.35090761165561,-6.19239,-28.0400499759758,-31.89861278533,-24.8360134274119,-28.37235,-183.513832009283,-199.611136810898,-223.140860194822,-157.3064625,1.42770244085213,3.00999658384145,3.56250984485619,2.72679794,1.58878370890859,3.87239336679431,3.32954765227901,1.540348521,10.1373724660215,17.5604490071342,13.3717309092635,15.47038337
"Clear","Chaoborus",-0.202859709255975,-0.627437897979545,-6.35461279041273,-6.19239,-33.1184613696196,-31.8308686735225,-22.5989244357265,-28.37235,-209.553949806576,-233.323595233946,-233.666122032872,-161.4372422,1.5399594947307,3.71586135752323,3.41042653078333,2.72679794,1.65084335139561,6.45662695746875,4.19713099497665,1.540348521,9.50478627532708,20.1413966239932,14.9852709205525,15.47038337
