"","C_enrich_ind","C_true_ind","env_water_ind","env_water_tot","H_true_ind","N_enrich_ind","N_true_ind","sd_C","sd_H","sd_N","trophic_lvl"
"1",2.66985462350088,-34.9310271900342,0.297721287215307,0.297721287215307,-189.992021585653,3.22733322917856,-1.67387881725533,1.4272192892176,10.7048039258248,1.60313236016158,1.99989110374598
"2",2.66985462350088,-40.6264970189907,0.28025308344603,0.28025308344603,-238.840192286888,3.48790998009021,-0.154704708353151,1.53356500170954,10.5339496234855,1.59635156222898,1.99989110374598
"3",2.66985462350088,-33.0325560556736,0.301636170797639,0.301636170797639,-181.082001186714,3.2945942032795,-3.1566865771229,1.49642080134133,9.56212873161273,1.39626337437019,1.99989110374598
"4",2.66985462350088,-41.4682230699903,0.314777304250117,0.314777304250117,-249.544657041231,3.59547444553466,-2.55111163593517,1.34486844379954,10.3152731077784,1.54816074784579,1.99989110374598
"5",2.66985462350088,-33.0776192636403,0.315057148358491,0.315057148358491,-229.56867429762,3.41117507242545,-3.3762161427034,1.56425049945168,11.2254778429251,1.47490298801667,1.99989110374598
"6",2.66985462350088,-39.4753725887643,0.328388340453079,0.328388340453079,-230.859745743457,3.19580365845689,0.0143307490862412,1.46890885282063,9.98864863802744,1.47246494873683,1.99989110374598
"7",2.66985462350088,-32.8158633209568,0.287361220650005,0.287361220650005,-186.067397511119,3.2635322139768,-2.10111168753481,1.53920963698919,10.1248097739013,1.47032311947257,1.99989110374598
"8",2.66985462350088,-31.9159383568088,0.319597119386967,0.319597119386967,-236.89791161136,3.38793422519504,-3.84907000481579,1.61573389523546,9.66780720831953,1.47928559387425,1.99989110374598
"9",2.66985462350088,-29.9801989252069,0.315694211921378,0.315694211921378,-244.401473893468,3.45523338995919,-1.81850659432803,1.63319764927638,10.4237655708408,1.56091187592383,1.99989110374598
"10",2.66985462350088,-34.0235538421584,0.297356147097163,0.297356147097163,-172.879738732509,3.20222672374039,-1.18993752618755,1.61846553097587,10.9607988304639,1.58904808415229,1.99989110374598
"11",2.66985462350088,-41.4703239190348,0.313771098379116,0.541288586934683,-223.650748504795,3.40248733274159,-1.64998249610751,1.57168484418889,9.19819789205576,1.46738210066802,3.00016334438103
"12",2.66985462350088,-32.32067250381,0.271504278206157,0.271504278206157,-181.532639695327,3.46323502915298,-2.87402365026232,1.50639309968527,11.0886950854426,1.5433709585934,1.99989110374598
"13",2.66985462350088,-35.8574774955977,0.315774287329989,0.315774287329989,-221.600909267089,3.46791032758838,-1.55387877963778,1.51477928207152,10.0629677133332,1.42638046142417,1.99989110374598
"14",2.66985462350088,-31.5450647696386,0.264341127453305,0.264341127453305,-180.628084984886,3.630835063947,-2.65498295312267,1.6008344196218,10.7962329262119,1.53254971837254,1.99989110374598
"15",2.66985462350088,-36.8395121758814,0.326069900142566,0.326069900142566,-220.810386451855,3.23840987374396,-1.32221559117568,1.48700073481204,10.2921347302555,1.43392531961526,1.99989110374598
"16",2.66985462350088,-32.2406685748498,0.300910119194434,0.300910119194434,-180.650190763955,3.45754186514556,-2.81160123838238,1.51477163005613,9.9121738169005,1.58140706983429,1.99989110374598
"17",2.66985462350088,-33.3844207832202,0.315329365598048,0.315329365598048,-176.25502444451,3.46544385542925,-2.67631750650347,1.44133509438728,10.0645773629094,1.73675541535758,1.99989110374598
"18",2.66985462350088,-26.222986358454,0.319321969264246,0.547952357358152,-218.049560775419,3.72216292737366,-0.69875065385186,1.53816099771814,10.2249660495529,1.52374781979162,3.00016334438103
"19",2.66985462350088,-27.583685929509,0.314660215668594,0.539434373615466,-198.66261365775,3.37603118676173,0.442182371948931,1.59469015359493,9.32662339907473,1.51707315980563,3.00016334438103
"20",2.66985462350088,-30.1613694561052,0.272214149949283,0.272214149949283,-209.353514515383,3.27739616706014,-3.06178713685388,1.53843514670497,9.72714970838817,1.54311913378465,1.99989110374598
"21",2.66985462350088,-30.6547343459524,0.276158698437824,0.276158698437824,-193.075703566124,3.35832237968888,-3.63497352224761,1.57045625978194,10.8088690175138,1.63522935092731,1.99989110374598
"22",2.66985462350088,-30.3138348033665,0.331026147418919,0.331026147418919,-197.988817483172,3.09248546795513,-5.62380798175558,1.50904062951938,10.9557708783963,1.54877400609257,1.99989110374598
"23",2.66985462350088,-29.2918708143548,0.290526015866545,0.290526015866545,-243.290546866387,3.25483228505127,-6.13349988012416,1.46792427999568,10.4491371799165,1.33132960134624,1.99989110374598
"24",2.66985462350088,-27.6543096784073,0.311238132827855,0.311238132827855,-237.357616711656,3.35322551925348,-5.46400870439535,1.58914865535671,10.9017995268354,1.55594289104687,1.99989110374598
"25",2.66985462350088,-30.1234484542137,0.312334527454587,0.312334527454587,-244.69619765159,3.61577777471772,-5.18398860079854,1.52690160476319,11.0781715036892,1.53310659371051,1.99989110374598
"26",2.66985462350088,-28.344033048789,0.292814830844839,0.292814830844839,-250.27553020607,3.23752396277893,-4.95963449557088,1.61476217342255,9.89458931104647,1.4858711343445,1.99989110374598
"27",2.66985462350088,-31.7802845099692,0.288018497471522,0.288018497471522,-263.559951110522,3.21475992002519,-5.15288763970298,1.57902008709875,11.0627945439754,1.44396687330305,1.99989110374598
"28",2.66985462350088,-26.0418016944131,0.30778345521201,0.30778345521201,-245.70131355918,3.36584200988443,-5.60105368024999,1.52410163990844,10.9721970132889,1.54930741190225,1.99989110374598
"29",2.66985462350088,-27.3460124526561,0.294552571968408,0.294552571968408,-248.061649813907,3.40736648942646,-5.63618365468297,1.56174849381498,10.7132808164709,1.6224893792785,1.99989110374598
