"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"O","Cladocera",-2.81160123838238,-0.69926785053141,-6.11366558769981,-6.192393333,-32.2406685748498,-30.6806216574121,-25.0778859628808,-28.37235,-180.650190763955,-206.333620030204,-212.680762382593,-161.4372422,1.58140706983429,3.26568085635706,6.24774036262642,2.72679794,1.51477163005613,4.6710577016353,3.60611864892801,1.540348521,9.9121738169005,18.3825565482637,16.909483801094,15.47038337
"Z","Cladocera",-2.67631750650347,-0.708715007705383,-7.19115771701392,-6.192393333,-33.3844207832202,-31.6495502283268,-25.0540556618901,-28.37235,-176.25502444451,-209.708889815053,-220.566497783563,-157.3064625,1.73675541535758,2.89767873970557,3.48363297232447,2.72679794,1.44133509438728,3.95148394334033,3.21138082089687,1.540348521,10.0645773629094,21.1213567578619,13.6878893408975,15.47038337
"Mirror","Salvelinus",-0.69875065385186,-1.79507364081246,-6.09769794200679,-6.96259,-26.222986358454,-27.9489558260143,-18.4895861890801,-26.644,-218.049560775419,-243.523152175726,-238.385449279191,-161.4372422,1.52374781979162,3.10695183848198,3.88259430512398,2.597857878,1.53816099771814,5.29813250159769,9.52930765829312,1.617015005,10.2249660495529,19.3066161200602,14.0755403098069,19.03892533
"Mirror","Salvelinus",0.442182371948931,-1.79507364081246,-6.09769794200679,-6.96259,-27.583685929509,-27.9489558260143,-18.4895861890801,-26.644,-198.66261365775,-243.523152175726,-238.385449279191,-161.4372422,1.51707315980563,3.10695183848198,3.88259430512398,2.597857878,1.59469015359493,5.29813250159769,9.52930765829312,1.617015005,9.32662339907473,19.3066161200602,14.0755403098069,19.03892533
"C","Trichoptera",-3.06178713685388,-0.675721247042568,-5.53920535838606,-6.192393333,-30.1613694561052,-30.3136079281155,-25.2064745777947,-28.37235,-209.353514515383,-201.253172773352,-211.262327557099,-157.3064625,1.54311913378465,3.7511322966301,4.20462664764085,2.72679794,1.53843514670497,3.70667987170878,3.58636057287823,1.540348521,9.72714970838817,19.2693270128454,14.393886253489,15.47038337
"C","Trichoptera",-3.63497352224761,-0.675721247042568,-5.53920535838606,-6.192393333,-30.6547343459524,-30.3136079281155,-25.2064745777947,-28.37235,-193.075703566124,-201.253172773352,-211.262327557099,-157.3064625,1.63522935092731,3.7511322966301,4.20462664764085,2.72679794,1.57045625978194,3.70667987170878,3.58636057287823,1.540348521,10.8088690175138,19.2693270128454,14.393886253489,15.47038337
"Clear","Trichoptera",-5.62380798175558,-0.728699990447754,-6.46798501412974,-6.192393333,-30.3138348033665,-32.1044096570966,-22.7796641430676,-28.37235,-197.988817483172,-237.616829617785,-227.787682602852,-161.4372422,1.54877400609257,3.48261682981135,3.3982703316688,2.72679794,1.50904062951938,6.45127707251769,4.51888769214587,1.540348521,10.9557708783963,19.9660628405562,15.1415558620887,15.47038337
"Milk","Trichoptera",-6.13349988012416,-1.94053917933561,-7.5686129488159,-6.96259,-29.2918708143548,-32.4515177478187,-22.1592642142546,-26.644,-243.290546866387,-237.027363610288,-240.011620742348,-157.3064625,1.33132960134624,3.20968864136549,3.27273643587308,2.597857878,1.46792427999568,8.11793270565709,5.3829295577982,1.617015005,10.4491371799165,20.611725236529,14.2005425579273,19.03892533
"Mirror","Trichoptera",-5.46400870439535,-1.79507364081246,-6.09769794200679,-6.96259,-27.6543096784073,-27.9489558260143,-18.4895861890801,-26.644,-237.357616711656,-243.523152175726,-238.385449279191,-161.4372422,1.55594289104687,3.10695183848198,3.88259430512398,2.597857878,1.58914865535671,5.29813250159769,9.52930765829312,1.617015005,10.9017995268354,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Trichoptera",-5.18398860079854,-0.960049617528894,-7.80192835236272,-6.192393333,-30.1234484542137,-31.7799914745219,-19.9873055133148,-28.37235,-244.69619765159,-238.806441823403,-240.461821563758,-161.4372422,1.53310659371051,2.85309684927098,3.82651134016102,2.72679794,1.52690160476319,3.98785287863553,5.33631412493896,1.540348521,11.0781715036892,21.4298937263986,14.9470509286722,15.47038337
"Morgenroth","Trichoptera",-4.95963449557088,-0.960049617528894,-7.80192835236272,-6.192393333,-28.344033048789,-31.7799914745219,-19.9873055133148,-28.37235,-250.27553020607,-238.806441823403,-240.461821563758,-161.4372422,1.4858711343445,2.85309684927098,3.82651134016102,2.72679794,1.61476217342255,3.98785287863553,5.33631412493896,1.540348521,9.89458931104647,21.4298937263986,14.9470509286722,15.47038337
"No Name","Trichoptera",-5.15288763970298,-1.47632239967872,-6.7036379188141,-6.192393333,-31.7802845099692,-31.1692575251977,-22.7846765479317,-28.37235,-263.559951110522,-231.450004384411,-241.272140135283,-161.4372422,1.44396687330305,2.78761428451552,3.45315875067983,2.72679794,1.57902008709875,3.86861130173427,4.30146125740658,1.540348521,11.0627945439754,18.2061142867846,16.1468342009499,15.47038337
"Y-015","Trichoptera",-5.60105368024999,-1.47041920931745,-7.57753974517591,-6.96259,-26.0418016944131,-30.1011969942632,-19.6018624893783,-26.644,-245.70131355918,-230.408629430576,-241.345817293268,-157.3064625,1.54930741190225,4.8384898450801,3.32054538405981,2.597857878,1.52410163990844,4.71366481747617,5.63245678860225,1.617015005,10.9721970132889,20.564046413556,13.5568416660392,19.03892533
"Y-025","Trichoptera",-5.63618365468297,-1.27020837550997,-6.54954856384784,-6.96259,-27.3460124526561,-27.2167640801548,-21.6691185002807,-26.644,-248.061649813907,-239.650616434034,-242.91541846195,-157.3064625,1.6224893792785,3.08975196758895,3.34457631102079,2.597857878,1.56174849381498,6.06113545108123,5.02108871404274,1.617015005,10.7132808164709,19.3415978714667,13.7446142544739,19.03892533
"Z","Trichoptera",-3.24386560863238,-0.708715007705383,-7.19115771701392,-6.192393333,-31.689699683377,-31.6495502283268,-25.0540556618901,-28.37235,-188.594719373957,-209.708889815053,-220.566497783563,-157.3064625,1.42875531267301,2.89767873970557,3.48363297232447,2.72679794,1.50837886803222,3.95148394334033,3.21138082089687,1.540348521,10.7532214139218,21.1213567578619,13.6878893408975,15.47038337
"Clear","Chaoborus",-1.09314670116906,-0.728699990447754,-6.46798501412974,-6.192393333,-39.9003585225534,-32.1044096570966,-22.7796641430676,-28.37235,-203.589014795849,-237.616829617785,-227.787682602852,-161.4372422,1.44517838767156,3.48261682981135,3.3982703316688,2.72679794,1.61097551995654,6.45127707251769,4.51888769214587,1.540348521,9.91044418579352,19.9660628405562,15.1415558620887,15.47038337
