"","cnT","d13CT","d15NT","d2HT","mean_cnA_lake","mean_d13CA_lake","mean_d13Cperi_lake","mean_d15NA_lake","mean_d15Nperi_lake","mean_d2HA_lake","mean_d2Hperi_lake","mean_eH_lake","sd_d13Ca","sd_d13Cperi","sd_d15Na","sd_d15Nperi","sd_d2H2O","sd_d2Hperi"
"1",50.864121184027,-28.8497337694392,-6.21205103056955,-157.081475936141,6.89745122172279,-31.6781842488392,-19.8392278030429,-0.881805792817631,-7.40700293921701,-177.768223392899,-238.248066344469,-95.9947729798069,3.92860049285734,5.03543494423258,2.75926432412473,3.44219508399012,15.3881858656653,14.3672096141663
"2",48.5006036201573,-28.6667354272219,-6.42801552230246,-159.674834043948,6.76995443252691,-31.1138935488377,-22.8492818003665,-1.37191931256877,-6.51767628396401,-180.51602583802,-241.4801817693,-95.9947729798069,3.81722484178795,4.28938572112357,2.96419151902619,3.4218058189806,14.9676023626727,16.8750188901834
"3",43.516036148034,-28.0554311948917,-5.38323218356343,-157.873320041835,6.40208385304341,-30.9981491661896,-25.1217432431338,-0.674263915766471,-6.44560788701413,-133.637055425195,-207.372036914013,-95.9947729798069,4.40261518044847,3.64072875892998,3.39376499651751,6.10698329141717,18.3366849245178,16.4716566331722
"4",47.4453095918964,-28.6191934628992,-6.33299845464637,-157.283763061814,6.62131741975582,-30.2053095256991,-25.1684277067063,-0.153766354962557,-5.44830197364603,-156.376847388934,-213.84565655046,-95.9947729798069,3.68706399786299,3.76126439711434,3.53938223301627,4.18020033379244,16.4706168894686,14.8635645263464
"5",59.1142573905394,-28.6819027573455,-6.32717057328804,-161.344266378876,6.78432028752295,-31.7615327196185,-25.0871854142116,-0.532512285731845,-6.86250247297544,-153.114384301825,-218.406110492151,-95.9947729798069,3.95147831740207,3.45586531419071,2.95984121893154,3.48006598320383,14.91813566643,14.6451170703568
"6",48.9756094764758,-28.4382027586671,-7.24722364503187,-159.748672326267,6.48650670814804,-31.4519250071613,-25.1498329305155,-0.624249374241244,-7.52605689718457,-143.676430093802,-214.742470995659,-95.9947729798069,3.54632587803736,3.13633127961565,2.84932869703921,3.94560162572756,13.9546931158168,13.773844786164
"7",65.3315330120884,-26.6730372769733,-6.65396854842805,-164.958835062903,6.72841232899969,-28.0265658474348,-21.8008695466515,-2.05126712432665,-6.55713392273339,-183.176409674503,-240.416865862299,-95.9947729798069,5.63712277305994,10.9091861058735,3.05865931248139,3.86151059321068,14.9506483228655,13.3668014737757
"8",62.559466714877,-26.6200093937732,-7.11068180101987,-167.610411931906,7.00694035841706,-30.2234945482349,-19.704598451209,-2.05848484462146,-7.59059222767079,-172.57491868636,-240.54894859298,-95.9947729798069,5.03169992936762,5.37883243600047,5.03023418671721,3.35002372458734,17.0842274775551,14.1102972784508
"9",64.487044090631,-26.4932702092017,-6.29084043433032,-162.263901977947,6.39720680353893,-27.2732096592125,-21.8181046411763,-1.36540546710614,-6.72314301504082,-182.772830612138,-239.621493186305,-95.9947729798069,5.75418286936461,5.04756101637116,3.11880556667492,3.47159786420389,14.4878088720671,14.1874333432282
"10",49.0650599065187,-28.6070138558717,-6.18536636649815,-158.918574215634,6.74008585292289,-31.6676128154095,-22.6810593573003,-0.708437573077632,-6.55302675091273,-183.050964998166,-225.510001516947,-95.9947729798069,6.20014483609842,4.62331519479372,3.49429008252855,3.49742217687367,15.1803538029903,15.1343501424709
"11",63.7107883341543,-26.6906895108073,-6.81898532412185,-156.608953759271,6.84055063747847,-31.6189086232496,-22.1186934386613,-1.99693107187012,-7.57808523401626,-192.562944087237,-240.198797061625,-95.9947729798069,7.89257469236974,5.1502197923657,3.19874002103849,3.39561163070196,16.1642200885112,12.4108885510204
