 ,Area,Mean,Min,Max,BX,BY,Width,Height
1,2.850,153.623,18,204,13.126,11.737,1.590,1.792
2,1.964,142.336,46,185,24.055,11.031,1.161,1.691
3,3.653,138.932,16,218,33.420,10.273,1.590,2.297
4,1.720,140.149,75,191,44.173,12.065,1.136,1.514
5,1.671,158.698,92,203,11.964,21.531,1.161,1.439
6,3.202,147.519,39,221,20.143,21.884,1.691,1.893
