"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"O","Cladocera",-3.18121786913539,-0.85222528260659,-6.53189169095612,-6.19239,-27.5683151062841,-30.6562099035089,-25.040582544184,-28.37235,-176.721943160322,-197.458553109771,-208.961512766408,-161.4372422,1.41359741331241,3.70703054578008,6.07307954721157,2.72679794,1.50116756579581,4.53425154484618,3.72029915504319,1.540348521,10.4507791480594,21.9705983986724,16.3410820036258,15.47038337
"Z","Cladocera",-2.76584733473429,-0.637485620512241,-6.83309342559743,-6.19239,-28.9331048307947,-31.6485544744834,-24.9276668696017,-28.37235,-177.117480549371,-192.520085314915,-218.839706330627,-157.3064625,1.48503524878232,2.85767029245773,3.55262243536771,2.72679794,1.60828583803917,3.79637825387773,3.33903479141874,1.540348521,9.98519173473478,21.8535142490198,14.7108474002054,15.47038337
"Mirror","Salvelinus",-0.255142694746894,-1.95969163694242,-6.17290732420313,-6.96259,-19.1824346028537,-27.8355636445119,-20.2407195290788,-26.644,-218.034675841977,-232.663061184619,-240.619428399938,-161.4372422,1.60856525906621,3.09050007667154,3.86350916665226,2.597857878,1.42703749533937,5.49395497492807,10.3338412196468,1.617015005,9.79019629535722,19.1339598867164,13.4029483704276,19.03892533
"Mirror","Salvelinus",0.118321181074435,-1.95969163694242,-6.17290732420313,-6.96259,-20.1682077006744,-27.8355636445119,-20.2407195290788,-26.644,-199.280523356757,-232.663061184619,-240.619428399938,-161.4372422,1.51331362552662,3.09050007667154,3.86350916665226,2.597857878,1.45317139573307,5.49395497492807,10.3338412196468,1.617015005,9.83352933778619,19.1339598867164,13.4029483704276,19.03892533
"C","Trichoptera",-2.73220793392311,-0.492531292157974,-5.2798443685447,-6.19239,-25.0971582530467,-30.2438957541773,-25.1216759823104,-28.37235,-198.834211571689,-197.056731716079,-211.162985255854,-157.3064625,1.45253220374332,3.74497278224188,4.47860424022183,2.72679794,1.40968120070774,3.74883277593739,3.89334955536804,1.540348521,9.8248957798713,18.5469832986162,14.6830392860235,15.47038337
"C","Trichoptera",-3.4554662711862,-0.492531292157974,-5.2798443685447,-6.19239,-26.0291036854346,-30.2438957541773,-25.1216759823104,-28.37235,-191.721806573476,-197.056731716079,-211.162985255854,-157.3064625,1.55271138465731,3.74497278224188,4.47860424022183,2.72679794,1.51486639983184,3.74883277593739,3.89334955536804,1.540348521,11.4496766986917,18.5469832986162,14.6830392860235,15.47038337
"Clear","Trichoptera",-6.04255896874234,-0.391332756159302,-6.49625931969583,-6.19239,-25.6891221605685,-31.5121312610225,-22.6844628851845,-28.37235,-196.616635596182,-241.887961136128,-229.467349249529,-161.4372422,1.48758089385566,3.41882752683922,3.39694963579496,2.72679794,1.41515587137929,6.31116962044683,4.38830041178093,1.540348521,10.7573792433844,19.3229316320607,15.1260809764148,15.47038337
"Milk","Trichoptera",-6.10608174918089,-1.92274497883332,-7.47849029355554,-6.96259,-24.9781076597173,-31.5872487532558,-22.0162766606441,-26.644,-237.962548164466,-234.424034663457,-239.70701645531,-157.3064625,1.56382263124468,3.20905432956218,3.34929909108576,2.597857878,1.56021116641095,8.47212995962129,5.21909187398371,1.617015005,11.0823541457357,21.772955522339,13.0314251770546,19.03892533
"Mirror","Trichoptera",-5.21275875141836,-1.95969163694242,-6.17290732420313,-6.96259,-23.0235342271504,-27.8355636445119,-20.2407195290788,-26.644,-240.587869194298,-232.663061184619,-240.619428399938,-161.4372422,1.52922193845818,3.09050007667154,3.86350916665226,2.597857878,1.53998985636403,5.49395497492807,10.3338412196468,1.617015005,10.4120688905439,19.1339598867164,13.4029483704276,19.03892533
"Morgenroth","Trichoptera",-4.82203195919068,-0.998590586609869,-7.72542595573312,-6.19239,-25.3716438868191,-31.6872353418134,-20.4850887695174,-28.37235,-236.114212253386,-233.780737808523,-241.137221132675,-161.4372422,1.42641413044926,3.09263732138076,3.35491951569177,2.72679794,1.5505333708705,3.92682178316978,5.33292344368317,1.540348521,10.7201524099679,17.927050980278,14.6501706713687,15.47038337
"Morgenroth","Trichoptera",-4.91317919485638,-0.998590586609869,-7.72542595573312,-6.19239,-23.7849458216566,-31.6872353418134,-20.4850887695174,-28.37235,-242.56637639351,-233.780737808523,-241.137221132675,-161.4372422,1.7951817366763,3.09263732138076,3.35491951569177,2.72679794,1.53711693155336,3.92682178316978,5.33292344368317,1.540348521,9.37412114549762,17.927050980278,14.6501706713687,15.47038337
"No Name","Trichoptera",-5.36529674967312,-1.42686420153344,-6.54046805284092,-6.19239,-27.4228530321024,-31.2649895661521,-22.8375428887722,-28.37235,-258.633003009689,-232.287255532643,-240.024408320568,-161.4372422,1.56231334679719,2.92624919601768,3.40554210698269,2.72679794,1.56040965578545,3.94031192827801,4.49358401262737,1.540348521,9.41610101597895,22.7916890810102,16.7888167539804,15.47038337
"Y-015","Trichoptera",-4.98169959209334,-1.49137458001878,-7.42509794161072,-6.96259,-21.9284545203227,-30.1436792947851,-19.6001608906615,-26.644,-250.134129743557,-237.501255078756,-239.673152627241,-157.3064625,1.53213250388904,4.90758496413172,3.47331142945325,2.597857878,1.46876063297283,5.09102835690797,5.4634170486111,1.617015005,10.1498085141946,23.4535701970079,14.7148204863773,19.03892533
"Y-025","Trichoptera",-5.81393243497578,-1.37393329061914,-6.59923696613045,-6.96259,-22.8984668460075,-27.0451013271735,-21.6439615374512,-26.644,-246.940908869719,-239.97172382351,-241.870244111365,-157.3064625,1.47688558466445,3.08635074512413,3.27118409452431,2.597857878,1.50378339476257,6.26409063074552,5.00642024753934,1.617015005,10.577116488337,19.4500593654794,14.2200038523801,19.03892533
"Z","Trichoptera",-2.71223748266905,-0.637485620512241,-6.83309342559743,-6.19239,-28.0400499759758,-31.6485544744834,-24.9276668696017,-28.37235,-183.513832009283,-192.520085314915,-218.839706330627,-157.3064625,1.42770244085213,2.85767029245773,3.55262243536771,2.72679794,1.58878370890859,3.79637825387773,3.33903479141874,1.540348521,10.1373724660215,21.8535142490198,14.7108474002054,15.47038337
"Clear","Chaoborus",-0.202859709255975,-0.391332756159302,-6.49625931969583,-6.19239,-33.1184613696196,-31.5121312610225,-22.6844628851845,-28.37235,-209.553949806576,-241.887961136128,-229.467349249529,-161.4372422,1.5399594947307,3.41882752683922,3.39694963579496,2.72679794,1.65084335139561,6.31116962044683,4.38830041178093,1.540348521,9.50478627532708,19.3229316320607,15.1260809764148,15.47038337
