Peak,FA_name,Common_name,Class,synthesizer,Rel_90_C_cal,Rel_92_O_cal,Rel_94_Z_cal,Rel_85_mirror_cal,Rel_86_y025_cal,Rel_87_y015_cal,Rel_96_L_cal,Rel_82_clear_cal,Rel_83_morg_cal,Rel_105_milk_cal
83,,,,,#VALUE!,0.449262959,0.262874717,0.638534037,#VALUE!,#VALUE!,#VALUE!,0.124976104,0.20689084,0.208905415
85,21-5n3,,PUFA,,#VALUE!,#VALUE!,#VALUE!,0.33632821,#VALUE!,0.270938001,#VALUE!,0.36597435,0.198797592,0.31678658
86,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
87,22-4n6,,PUFA,Euglenophyceae,#VALUE!,#VALUE!,#VALUE!,0.24439477,#VALUE!,#VALUE!,#VALUE!,0.112078914,#VALUE!,#VALUE!
87.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.156037885,#VALUE!,#VALUE!
88,22-5n6,DPA (docosapentaenoic),PUFA, Cryptophyceae and Chrysophyceae (Synurales),0.640750413,0.525199902,4.71727826,3.721814228,4.244141423,1.253481953,2.761017597,3.226583204,1.861974933,2.386223476
89,22-5n3,DPA (docosapentaenoic),PUFA,,#VALUE!,#VALUE!,#VALUE!,0.500894312,0.648371704,0.638348767,#VALUE!,0.473601732,0.33360829,0.610591093
90,22-6n3,DHA (docosahexaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",1.421111034,2.269823693,3.391963833,13.08994779,11.74183509,15.44309197,8.460543052,13.15439667,8.269738229,15.94225572
91,24-0,JSY?,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",#VALUE!,#VALUE!,0.453318072,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
92,24-1n?,,MUFA,,0.653445137,0.954479143,1.404956368,0.727136336,1.184485089,1.079691858,1.201666497,0.619220215,0.860163764,0.98577803
95,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
97,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
98,,,,,0.416516887,0.45497086,0.420236676,0.294057651,0.478915387,0.329046216,0.542509271,#VALUE!,0.182511878,0.27239291
